venta_id,fecha_venta,tienda,categoria,producto,cantidad,precio_unitario,monto_total,metodo_pago
V000067,2025-06-16,Lima Centro,hogar,Organizador,1,229.23,229.23,Plin
V001431,2025-06-05,Cusco,Juguetes,Set de bloques,1,293.59,293.59,Tarjeta
V000204,2025-05-05,Trujillo, Electronica ,Monitor 24,2,403.85,807.70,Yape
V001490,2025-05-11,Trujillo,Alimentos,Chocolate 70%,5,448.14,2240.70,Efectivo
V001868,2025-05-28,Arequipa,hogar,Lampara LED,0,38.95,0.00,Transferencia
V001793,2025-04-16,Lima Centro, alimentos,Chocolate 70%,4,123.61,494.44,Tarjeta
V000767,2025-06-24,Lima Centro,electronica,Cargador USB-C,2,409.88,819.76,Transferencia
V001019,2025-05-18,Arequipa,Alimentos,Cafe molido 500g,3,238.48,715.44,Tarjeta
V001672,2025-06-14,Lima Centro,ELECTRONICA,Teclado mecanico,2,346.30,692.60,Plin
V000976,2025-04-16,Trujillo,Electronica,Cargador USB-C,4,381.51,1526.04,Tarjeta
V001161,2025-04-26,Miraflores, alimentos,Chocolate 70%,2,108.78,217.56,Transferencia
V001828,2025-06-28,Lima Centro, alimentos,Chocolate 70%,5,130.52,-242.25,Efectivo
V000700,2025-04-02,Trujillo,juguetes,Set de bloques,1,371.48,371.48,Transferencia
V000360,2025-06-06,Arequipa,Electronica,Teclado mecanico,3,191.18,573.54,Yape
V000511,2025-04-03,Lima Centro,ROPA,Polo algodon,2,238.92,477.84,Plin
V001113,2025-04-24,Lima Centro,juguetes,Peluche mediano,1,451.77,451.77,Efectivo
V001909,2025-06-02,Lima Centro, alimentos,Aceite de oliva,1,369.90,369.90,Transferencia
V000509,2025-04-23,Cusco, Electronica ,Audifonos BT,3,260.34,781.02,Yape
V000167,2025-04-13,Miraflores,Ropa,Casaca impermeable,1,324.16,324.16,Yape
V001292,2025-04-10,Arequipa,Hogar,Olla antiadherente,2,225.73,-27.04,Plin
V001917,2025-04-07,Miraflores,ALIMENTOS,Cafe molido 500g,1,232.65,232.65,Efectivo
V000272,2025-05-14,Arequipa,Electronica,Teclado mecanico,1,373.50,373.50,Plin
V001754,2025-05-08,Miraflores,hogar,Organizador,4,121.00,484.00,Efectivo
V000531,2025-04-10,Trujillo,electronica,Monitor 24,5,372.31,1861.55,Efectivo
