venta_id,fecha_venta,sucursal,categoria,cantidad,monto_total
V00353,2025-04-22,Cusco,Hogar,2,-175.70
V00078,2025-04-29,Cusco,Alimentos,2,191.96
V00337,2025-04-25,Trujillo,Electronica,1,93.71
V00142,2025-04-20,Lima Centro,Ropa,2,444.89
V00286,2025-04-06,Lima Centro,Alimentos,4,752.09
V00074,2025-03-12,Cusco,Hogar,3,128.37
V00254,2025-03-25,Lima Centro,Alimentos,2,148.53
V00239,2025-04-12,Arequipa,Electronica,2,97.70
V00249,2025-04-03,Trujillo,Ropa,4,1046.64
V00264,2025-04-07,Arequipa,Electronica,4,87.93
V00208,2025-03-10,Cusco,Hogar,3,66.78
V00203,2025-03-23,Arequipa,Electronica,3,597.43
V00109,2025-03-26,Trujillo,Hogar,2,692.05
V00318,28/04/2025,Trujillo,Hogar,1,136.04
V00141,2025-03-25,Trujillo,Alimentos,2,591.64
V00291,2025-03-03,Lima Centro,Hogar,1,196.68
V00015,2025-03-09,Cusco,Electronica,2,632.08
V00160,2025-03-07,Arequipa,,2,163.56
V00007,2025-04-16,Cusco,Alimentos,2,435.66
V00096,2025-04-22,Arequipa,Alimentos,1,325.70
V00326,2025-03-14,Trujillo,Ropa,2,515.62
V00210,2025-03-17,Cusco,Electronica,2,159.87
V00258,2025-03-07,Cusco,Alimentos,2,362.61
V00392,2025-04-22,Trujillo,Alimentos,1,16.80
V00012,2025-03-26,Trujillo,Alimentos,2,78.47
V00172,2025-04-18,Cusco,Ropa,2,263.81
V00017,2025-04-08,Arequipa,Electronica,1,12.08
V00121,2025-03-06,Arequipa,Hogar,4,739.52
V00344,2025-04-18,Trujillo,Electronica,4,466.11
V00238,2025-04-22,Cusco,Alimentos,3,90.30
V00227,2025-04-07,Trujillo,Hogar,1,15.39
V00252,2025-03-27,Trujillo,Hogar,3,651.84
V00053,2025-03-26,Arequipa,Electronica,2,39.21
V00220,2025-03-18,Arequipa,Hogar,2,567.60
V00100,2025-03-12,Lima Centro,Ropa,1,152.89
V00107,2025-04-22,Cusco,Electronica,2,300.48
V00034,2025-04-18,Cusco,Electronica,2,244.11
V00124,2025-03-10,Trujillo,Hogar,3,1013.83
V00166,2025-03-11,Lima Centro,Ropa,3,389.08
V00115,2025-04-10,Cusco,Ropa,3,446.15
V00394,2025-03-13,Arequipa,Electronica,1,152.17
V00004,2025-04-06,Lima Centro,Hogar,3,863.55
V00379,2025-04-24,Cusco,Hogar,1,236.97
V00037,2025-04-12,Arequipa,Hogar,1,315.19
V00154,2025-03-14,Cusco,Hogar,2,313.37
V00386,2025-04-03,Cusco,Hogar,1,117.81
V00165,2025-04-03,Arequipa,Ropa,4,-168.06
V00234,2025-04-14,Trujillo,Alimentos,1,130.54
V00024,2025-03-29,Lima Centro,Hogar,2,78.44
V00370,2025-03-10,Arequipa,Electronica,3,405.19
V00303,2025-03-14,Arequipa,Alimentos,2,361.68
V00330,2025-03-24,Trujillo,Hogar,1,307.01
V00041,2025-04-28,Cusco,Ropa,1,40.41
V00324,2025-03-05,Cusco,Ropa,3,865.75
V00052,2025-03-31,Arequipa,Hogar,3,701.20
V00069,2025-03-28,Cusco,Hogar,0,273.34
V00279,2025-04-17,Arequipa,Alimentos,1,234.24
V00316,2025-03-09,Arequipa,Hogar,0,94.36
V00312,2025-03-26,Trujillo,Hogar,1,88.81
V00131,27/03/2025,Arequipa,Hogar,3,171.60
V00298,2025-04-17,Trujillo,Hogar,4,810.06
V00073,2025-04-05,Lima Centro,Ropa,2,636.63
V00395,2025-04-25,Trujillo,Electronica,4,228.35
V00349,2025-03-14,Trujillo,Hogar,1,48.44
V00295,2025-04-08,Lima Centro,Alimentos,2,585.87
V00267,2025-03-10,Arequipa,Ropa,2,-129.45
V00289,2025-03-18,Cusco,Electronica,2,663.74
V00216,2025-04-21,Arequipa,Ropa,4,1254.21
V00290,2025-04-02,Arequipa,Electronica,4,992.04
V00221,2025-04-02,Trujillo,Electronica,4,1258.09
V00025,2025-03-31,Cusco,Hogar,4,162.62
V00388,2025-03-09,Trujillo,Electronica,1,193.45
V00342,2025-03-11,Cusco,Electronica,1,64.79
V00133,2025-03-01,Cusco,Electronica,4,1157.83
V00116,2025-04-03,Lima Centro,Ropa,2,266.82
V00157,2025-04-02,Arequipa,Ropa,2,227.82
V00230,2025-03-23,Cusco,Alimentos,3,108.34
V00183,2025-03-03,Arequipa,Ropa,4,609.88
V00195,2025-04-29,Cusco,Electronica,2,547.24
V00325,2025-03-26,Lima Centro,Ropa,3,560.24
V00270,2025-03-20,Arequipa,Alimentos,3,291.50
V00189,2025-04-10,Lima Centro,Ropa,1,236.30
V00103,2025-04-02,Arequipa,Ropa,4,1141.01
V00145,2025-04-26,Lima Centro,,1,95.34
V00198,2025-03-10,Cusco,Electronica,2,668.83
V00351,2025-03-17,Trujillo,Electronica,2,503.46
V00317,2025-03-30,Lima Centro,Hogar,1,251.11
V00376,2025-04-28,Arequipa,Hogar,2,187.48
V00360,2025-04-03,Arequipa,Hogar,2,671.09
V00026,2025-04-26,Cusco,Ropa,2,557.46
V00197,2025-03-20,Arequipa,Ropa,2,435.65
V00147,2025-03-17,Cusco,Electronica,2,197.53
V00064,2025-03-24,Cusco,Ropa,3,867.70
V00259,2025-04-01,Lima Centro,Alimentos,2,542.71
V00328,2025-03-18,Arequipa,Alimentos,2,66.91
V00391,2025-03-26,Lima Centro,Alimentos,1,308.78
V00364,2025-04-27,Arequipa,Electronica,1,217.45
V00129,2025-04-16,Lima Centro,Electronica,4,93.69
V00200,2025-04-23,Cusco,Ropa,3,880.28
V00081,2025-03-25,Arequipa,Hogar,1,-112.12
V00248,2025-03-11,Lima Centro,Electronica,3,919.47
V00085,2025-04-01,Lima Centro,Ropa,2,541.72
V00375,2025-04-21,Trujillo,Alimentos,2,36.01
V00367,2025-04-02,Trujillo,Hogar,3,589.83
V00204,20/03/2025,Cusco,Electronica,4,582.71
V00273,2025-03-22,Arequipa,Alimentos,4,136.48
V00313,2025-04-11,Lima Centro,Electronica,1,191.40
V00338,2025-04-16,Arequipa,Ropa,1,75.60
V00080,2025-04-10,Arequipa,Hogar,3,681.20
V00119,2025-03-30,Lima Centro,Ropa,2,540.17
V00010,2025-03-04,Trujillo,Hogar,4,829.38
V00054,2025-04-12,Cusco,Alimentos,2,511.18
V00398,2025-03-10,Arequipa,,2,249.23
V00314,2025-04-17,Lima Centro,Electronica,2,483.34
V00194,2025-04-24,Arequipa,,1,305.91
V00226,2025-04-23,Arequipa,Electronica,3,777.08
V00158,2025-04-16,Lima Centro,Hogar,3,565.49
V00149,2025-04-15,Cusco,Electronica,3,610.02
V00334,2025-03-17,Cusco,Hogar,1,323.37
V00190,2025-03-24,Cusco,Ropa,2,403.98
V00308,2025-04-04,Lima Centro,Hogar,3,502.92
V00282,2025-04-24,Trujillo,Alimentos,4,1241.49
V00071,2025-04-01,Trujillo,Electronica,3,165.09
V00337,2025-04-25,Trujillo,Electronica,1,93.71
V00250,2025-04-22,Arequipa,Electronica,4,1205.67
V00336,2025-04-04,Trujillo,,1,223.74
V00095,2025-03-02,Cusco,Ropa,1,172.61
V00222,2025-04-18,Cusco,Ropa,2,316.07
V00117,2025-04-12,Trujillo,Hogar,1,143.76
V00063,2025-03-18,Trujillo,Alimentos,1,321.80
V00027,2025-04-17,Arequipa,,4,262.77
V00321,2025-03-13,Trujillo,Alimentos,0,295.30
V00001,2025-03-21,Arequipa,Ropa,2,464.03
V00365,2025-04-22,Trujillo,Ropa,4,205.06
V00135,2025-03-01,Arequipa,Ropa,1,151.65
V00143,2025-04-09,Lima Centro,,2,684.73
V00042,2025-04-24,Lima Centro,Hogar,2,124.97
V00329,2025-04-14,Lima Centro,Electronica,3,951.28
V00130,2025-03-09,Arequipa,Alimentos,1,-20.33
V00082,2025-03-31,Cusco,Ropa,3,286.52
V00128,2025-03-29,Trujillo,Ropa,1,220.00
V00304,2025-03-11,Arequipa,Ropa,2,454.45
V00268,2025-03-29,Arequipa,Alimentos,1,30.48
V00377,2025-03-09,Trujillo,Alimentos,2,441.67
V00393,2025-04-21,Lima Centro,Ropa,3,886.04
V00241,2025-03-03,Lima Centro,Hogar,4,890.93
V00093,2025-03-05,Lima Centro,Electronica,2,155.78
V00039,2025-04-15,Trujillo,Alimentos,3,445.46
V00311,2025-04-14,Cusco,Electronica,1,235.24
V00228,2025-03-22,Trujillo,,4,1216.81
V00100,2025-03-12,Lima Centro,Ropa,1,152.89
V00224,2025-04-02,Cusco,Ropa,2,25.30
V00097,2025-04-08,Cusco,Ropa,2,606.20
V00011,2025-03-02,Arequipa,Alimentos,2,137.60
V00056,2025-03-06,Lima Centro,Electronica,1,56.99
V00031,2025-04-22,Arequipa,Ropa,3,189.96
V00219,2025-03-12,Lima Centro,Alimentos,3,937.77
V00138,2025-03-08,Cusco,Hogar,4,1298.84
V00277,2025-03-15,Trujillo,Alimentos,4,225.04
V00114,2025-03-20,Arequipa,Ropa,1,341.73
V00261,2025-04-14,Arequipa,Hogar,3,936.58
V00256,2025-03-02,Cusco,Electronica,2,405.90
V00196,2025-03-30,Trujillo,Hogar,1,-12.80
V00174,2025-04-01,Lima Centro,Alimentos,3,682.22
V00075,2025-03-25,Trujillo,Alimentos,4,756.68
V00009,2025-04-08,Lima Centro,Alimentos,3,844.05
V00159,2025-03-11,Arequipa,Electronica,1,141.87
V00177,2025-03-14,Trujillo,Alimentos,3,206.26
V00235,2025-03-08,Cusco,Electronica,1,149.11
V00091,2025-04-22,Trujillo,Alimentos,1,28.65
V00298,2025-04-17,Trujillo,Hogar,4,810.06
V00327,2025-04-07,Arequipa,Alimentos,2,177.19
V00140,2025-04-27,Arequipa,Ropa,4,322.15
V00281,2025-03-13,Cusco,Electronica,4,468.84
V00301,2025-03-07,Arequipa,Hogar,4,881.91
V00271,2025-03-27,Trujillo,Hogar,2,615.71
V00186,2025-03-09,Lima Centro,Electronica,1,146.82
V00184,2025-03-19,Cusco,Alimentos,2,309.53
V00106,2025-03-07,Arequipa,Hogar,1,24.66
V00323,2025-04-04,Lima Centro,Hogar,2,33.33
V00122,2025-03-02,Arequipa,Electronica,3,778.33
V00029,2025-04-03,Arequipa,Ropa,0,690.91
V00005,2025-04-06,Cusco,Electronica,3,244.84
V00155,2025-03-09,Trujillo,Electronica,2,417.15
V00284,2025-03-12,Arequipa,Hogar,1,103.56
V00397,2025-03-26,Cusco,Electronica,2,280.86
V00272,2025-03-25,Cusco,Ropa,1,340.38
V00319,2025-03-08,Trujillo,Ropa,2,370.91
V00110,2025-03-27,Arequipa,Alimentos,1,304.12
V00297,2025-04-06,Lima Centro,,2,137.63
V00205,2025-03-30,Trujillo,Electronica,3,853.87
V00369,2025-04-29,Arequipa,Hogar,2,638.31
V00300,2025-03-06,Arequipa,Ropa,4,85.41
V00229,2025-03-16,Lima Centro,Ropa,3,879.27
V00059,2025-03-15,Arequipa,Alimentos,2,595.58
V00023,2025-03-13,Trujillo,Alimentos,2,518.16
V00104,2025-04-23,Arequipa,Alimentos,2,51.28
V00098,2025-04-18,Cusco,Ropa,1,149.82
V00320,2025-03-07,Trujillo,,3,367.95
V00199,2025-03-18,Lima Centro,Hogar,2,213.22
V00243,2025-03-06,Cusco,Alimentos,3,577.31
V00161,2025-04-02,Cusco,Hogar,0,38.95
V00265,2025-04-06,Lima Centro,Ropa,2,430.78
